rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
22,102. 망원역 1번출구 앞,2,0,37.55564880,126.91062927,ST-4
16,103. 망원역 2번출구 앞,0,0,37.55495071,126.91083527,ST-5
15,104. 합정역 1번출구 앞,0,0,37.55062866,126.91498566,ST-6
7,105. 합정역 5번출구 앞,0,0,37.55000687,126.91482544,ST-7
12,106. 합정역 7번출구 앞,2,0,37.54864502,126.91282654,ST-8
7,107. 신한은행 서교동금융센터점 앞,8,0,37.55751038,126.91850281,ST-9
12,108. 서교동 사거리,1,0,37.55274582,126.91861725,ST-10
12,109. 제일빌딩 앞,2,0,37.54769135,126.91998291,ST-11
22,110. 사천교,2,0,37.56819916,126.91784668,ST-13
12,111. 상수역 2번출구 앞,0,0,37.54787064,126.92353058,ST-15
12,112. 극동방송국 앞,1,0,37.54920197,126.92320251,ST-16
27,113. 홍대입구역 2번출구 앞,1,0,37.55749893,126.92380524,ST-18
17,114. 홍대입구역 8번출구 앞,0,0,37.55706024,126.92442322,ST-20
17,115. 사루비아 빌딩 앞,3,0,37.55893326,126.92711639,ST-12
7,116. 일진아이윌아파트 옆,3,0,37.56454086,126.92707062,ST-14
27,117. 홍은사거리,1,0,37.59115982,126.94132996,ST-17
12,118. 광흥창역 2번출구 앞,3,0,37.54773331,126.93176270,ST-19
12,119. 서강나루 공원,2,0,37.54528427,126.93105316,ST-21
7,120. 신수동 사거리,1,0,37.54524231,126.93411255,ST-22
17,121. 마포소방서 앞,2,0,37.54976654,126.93317413,ST-23
12,122. 신성기사식당 앞,0,0,37.54745865,126.93837738,ST-24
22,123. 문화촌 공원,10,0,37.59432983,126.94738770,ST-25
22,124. 서강대 정문 건너편,1,0,37.55113983,126.93698883,ST-26
17,125. 서강대 남문 옆,5,0,37.54948425,126.93894958,ST-27
22,126. 서강대 후문 옆,2,0,37.55041122,126.94384766,ST-28
17,127. 현대벤처빌 앞,0,0,37.55352020,126.93695068,ST-29
22,128. 신촌역(2호선) 1번출구 옆,0,0,37.55549622,126.93634033,ST-30
17,129. 신촌역(2호선) 6번출구 옆,0,0,37.55505371,126.93756866,ST-31
12,130. 신촌역(2호선) 7번출구 앞,2,0,37.55485916,126.93615723,ST-32
25,131. 증산2교,1,0,37.58417130,126.91110229,ST-33
17,133. 해담는다리,4,0,37.58203125,126.90899658,ST-35
10,134. 연세로 명물길,1,0,37.55789185,126.93807983,ST-36
12,135. 명물길 원형무대 앞,0,0,37.55910110,126.93917847,ST-37
